session_id,unique_events,unique_from_states,unique_to_states,unique_sources,n_events
20260918_073717_378_BT_GPS_TO_VPS_NORMAL_DEV_7937,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",32
20260918_080625_926_V4_GPS_TO_VPS_NORMAL_DEV_1350,"destination_arrived, dwell_passed, dwell_reset, dwell_started, indoor_state, indoor_step_checkpoint, quality_threshold_failed, quality_threshold_passed, reliability_state, transition_step_checkpoint, trial_finished, trial_started, vps_state","EnteringWithPdr, OutdoorGps, VpsScanning","Arrived, EnteringWithPdr, IndoorLocalized, IndoorVps, Navigating, Scanning, StartingVps, VpsScanning","Gps, Pdr, Vps",31
20260918_110625_926_V4_GPS_TO_VPS_NORMAL_DEV_8420,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,10
20260918_104434_515_V1_GPS_TO_VPS_NORMAL_DEV_3432,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,7
20260918_103000_241_BQ_GPS_TO_VPS_NORMAL_DEV_7814,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,10
20260918_105151_652_V2_GPS_TO_VPS_NORMAL_DEV_1612,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,11
20260918_103717_378_BT_GPS_TO_VPS_NORMAL_DEV_3772,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,10
20260918_105908_789_V3_GPS_TO_VPS_NORMAL_DEV_7039,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,11
20260918_111342_063_V5_GPS_TO_VPS_NORMAL_DEV_8168,"transition_step_checkpoint, trial_finished, trial_started",,,Gps,10
20260910_070011_120_V1_GPS_TO_VPS_NORMAL_DEV_30D7,"handover_completed_approximate, outdoor_state, quality_threshold_failed, quality_threshold_passed, reliability_state, source_switched, transition_step_checkpoint, trial_started, vps_state","EnteringWithPdr, Gps, OutdoorGps, VpsScanning","Calculating, EnteringWithPdr, IndoorLocalized, IndoorVps, NavigatingToB9Entrance, NoDestination, OutdoorGps, Pdr, Scanning, StartingVps, VpsScanning","Gps, Pdr",102
